ProdID,Rating,Text
P9794,5,"Nada a reclamar, só elogios."
P9419,5,"Amei esse produto, super útil."
P4548,4,"Excelente produto, super recomendo!"
P4038,4,"Produto top, cumpre o que promete."
P6885,4,"Nada a reclamar, só elogios."
P1227,1,"Experiência horrível, perdi meu tempo."
P5448,1,"Horrível, não recomendo."
P5873,5,"Qualidade incrível, entrega rápida."
P2453,5,"Ótimo custo-benefício, comprarei novamente."
P8361,2,Frágil e mal acabado.
P7234,5,"Amei esse produto, super útil."
P1732,4,Gostei demais!
P7898,4,"Amei esse produto, super útil."
P5692,2,Frágil e mal acabado.
P7638,2,"Horrível, não recomendo."
P1261,1,"Horrível, não recomendo."
P9335,2,Dinheiro jogado fora.
P4137,2,Produto chegou quebrado.
P7460,2,Decepcionado com a compra.
P8416,2,"Atendimento péssimo, nunca mais."
P4874,2,"Péssima qualidade, não funciona direito."
P2823,5,"Gostei muito, valeu a pena."
P1302,5,"Excelente produto, super recomendo!"
P6117,1,"Experiência horrível, perdi meu tempo."
P4689,1,Dinheiro jogado fora.
P3253,2,"Horrível, não recomendo."
P1648,1,Dinheiro jogado fora.
P2656,1,Veio diferente do anúncio.
P2708,2,Produto chegou quebrado.
P3453,4,"Amei esse produto, super útil."
P7524,2,"Muito ruim, não gostei."
P8074,1,Veio diferente do anúncio.
P3283,5,"Produto maravilhoso, funcionou perfeitamente."
P9813,2,Produto chegou quebrado.
P7717,2,"Experiência horrível, perdi meu tempo."
P7028,4,"Amei esse produto, super útil."
P7688,1,"Muito ruim, não gostei."
P2011,2,"Péssima qualidade, não funciona direito."
P9404,4,"Gostei muito, valeu a pena."
P6814,5,"Produto top, cumpre o que promete."
P6758,4,"Excelente produto, super recomendo!"
P7647,4,"Qualidade incrível, entrega rápida."
P2942,2,Dinheiro jogado fora.
P5185,1,Veio diferente do anúncio.
P9215,4,"Gostei muito, valeu a pena."
P4456,2,"Péssima qualidade, não funciona direito."
P1825,1,"Péssima qualidade, não funciona direito."
P6055,2,"Péssima qualidade, não funciona direito."
P6971,4,"Qualidade incrível, entrega rápida."
P6842,1,Decepcionado com a compra.
P9726,4,"Qualidade incrível, entrega rápida."
P5056,2,Veio diferente do anúncio.
P6321,2,Produto chegou quebrado.
P7382,5,Gostei demais!
P1652,4,"Produto maravilhoso, funcionou perfeitamente."
P9442,5,"Produto maravilhoso, funcionou perfeitamente."
P1455,4,"Ótimo custo-benefício, comprarei novamente."
P2363,1,Dinheiro jogado fora.
P8785,1,Produto chegou quebrado.
P2876,4,"Ótimo custo-benefício, comprarei novamente."
P7542,1,"Horrível, não recomendo."
P2950,1,Decepcionado com a compra.
P4413,1,Frágil e mal acabado.
P5264,1,"Horrível, não recomendo."
P8256,1,Dinheiro jogado fora.
P7060,4,"Amei esse produto, super útil."
P7595,2,"Péssima qualidade, não funciona direito."
P3873,4,Muito bom mesmo!
P5499,2,Produto chegou quebrado.
P6349,1,Dinheiro jogado fora.
P6594,5,"Nada a reclamar, só elogios."
P2569,1,Decepcionado com a compra.
P6136,5,"Excelente produto, super recomendo!"
P2358,2,Dinheiro jogado fora.
P6523,1,"Muito ruim, não gostei."
P7067,2,"Experiência horrível, perdi meu tempo."
P5655,4,Gostei demais!
P9954,2,"Muito ruim, não gostei."
P6314,5,"Produto maravilhoso, funcionou perfeitamente."
P9594,5,Muito bom mesmo!
P6677,4,"Qualidade incrível, entrega rápida."
P3069,2,Produto chegou quebrado.
P2080,4,Muito bom mesmo!
P5434,2,Frágil e mal acabado.
P2436,5,"Excelente produto, super recomendo!"
P9869,4,"Produto maravilhoso, funcionou perfeitamente."
P2563,2,Dinheiro jogado fora.
P9650,2,"Muito ruim, não gostei."
P1481,1,"Muito ruim, não gostei."
P5496,5,"Ótimo custo-benefício, comprarei novamente."
P7087,4,"Produto top, cumpre o que promete."
P5105,2,Frágil e mal acabado.
P4884,4,"Gostei muito, valeu a pena."
P4194,4,"Ótimo custo-benefício, comprarei novamente."
P8266,4,"Amei esse produto, super útil."
P3059,5,"Nada a reclamar, só elogios."
P1387,5,"Amei esse produto, super útil."
P2011,2,"Horrível, não recomendo."
P7437,2,Produto chegou quebrado.
P6580,2,"Atendimento péssimo, nunca mais."
P1170,2,Veio diferente do anúncio.
P9895,4,"Nada a reclamar, só elogios."
P6818,5,Gostei demais!
P3433,1,"Experiência horrível, perdi meu tempo."
P7210,5,Gostei demais!
P1863,5,"Amei esse produto, super útil."
P2746,2,"Experiência horrível, perdi meu tempo."
P5863,5,Gostei demais!
P7211,4,"Excelente produto, super recomendo!"
P2433,2,"Atendimento péssimo, nunca mais."
P3315,2,"Atendimento péssimo, nunca mais."
P3398,1,Dinheiro jogado fora.
P5701,1,"Atendimento péssimo, nunca mais."
P5795,1,"Muito ruim, não gostei."
P4492,4,"Produto top, cumpre o que promete."
P1110,1,Decepcionado com a compra.
P9545,5,"Ótimo custo-benefício, comprarei novamente."
P9893,4,"Produto maravilhoso, funcionou perfeitamente."
P8934,1,Frágil e mal acabado.
P7605,5,"Qualidade incrível, entrega rápida."
P1649,4,Gostei demais!
P1031,5,"Produto top, cumpre o que promete."
P8826,2,"Experiência horrível, perdi meu tempo."
P9109,4,"Produto maravilhoso, funcionou perfeitamente."
P7838,5,"Produto maravilhoso, funcionou perfeitamente."
P1067,5,"Produto top, cumpre o que promete."
P6250,2,"Muito ruim, não gostei."
P6037,2,"Experiência horrível, perdi meu tempo."
P9092,1,"Horrível, não recomendo."
P9914,4,"Amei esse produto, super útil."
P5245,4,"Qualidade incrível, entrega rápida."
P9242,1,Dinheiro jogado fora.
P9654,1,"Muito ruim, não gostei."
P4625,5,Muito bom mesmo!
P6462,5,"Amei esse produto, super útil."
P9198,2,Veio diferente do anúncio.
P6217,2,"Horrível, não recomendo."
P8553,1,Decepcionado com a compra.
P6749,2,Produto chegou quebrado.
P7945,1,"Muito ruim, não gostei."
P5741,4,Muito bom mesmo!
P7872,4,"Excelente produto, super recomendo!"
P8108,1,Frágil e mal acabado.
P7706,1,Frágil e mal acabado.
P5836,2,Veio diferente do anúncio.
P8654,2,"Péssima qualidade, não funciona direito."
P2065,2,Frágil e mal acabado.
P5375,1,Veio diferente do anúncio.
P2148,1,Produto chegou quebrado.
P2972,2,Frágil e mal acabado.
P4146,5,"Ótimo custo-benefício, comprarei novamente."
P4846,5,"Produto maravilhoso, funcionou perfeitamente."
P8776,2,"Atendimento péssimo, nunca mais."
P1081,5,"Ótimo custo-benefício, comprarei novamente."
P9595,1,Frágil e mal acabado.
P4979,1,"Experiência horrível, perdi meu tempo."
P8288,4,"Ótimo custo-benefício, comprarei novamente."
P8282,4,"Qualidade incrível, entrega rápida."
P2911,1,"Péssima qualidade, não funciona direito."
P3855,4,"Gostei muito, valeu a pena."
P3168,4,"Produto maravilhoso, funcionou perfeitamente."
P7785,4,Muito bom mesmo!
P7078,1,Produto chegou quebrado.
P2536,2,Veio diferente do anúncio.
P9670,1,Veio diferente do anúncio.
P1584,4,"Qualidade incrível, entrega rápida."
P9557,5,"Amei esse produto, super útil."
P2730,1,"Atendimento péssimo, nunca mais."
P7616,4,"Produto maravilhoso, funcionou perfeitamente."
P9247,4,"Gostei muito, valeu a pena."
P6187,4,"Produto maravilhoso, funcionou perfeitamente."
P2637,4,Muito bom mesmo!
P6495,5,"Gostei muito, valeu a pena."
P8877,2,Produto chegou quebrado.
P6884,4,"Produto top, cumpre o que promete."
P3753,2,"Péssima qualidade, não funciona direito."
P5164,4,"Produto top, cumpre o que promete."
P7399,1,"Horrível, não recomendo."
P2642,5,"Produto maravilhoso, funcionou perfeitamente."
P6305,1,Decepcionado com a compra.
P6862,5,"Excelente produto, super recomendo!"
P9361,2,Decepcionado com a compra.
P1382,1,Decepcionado com a compra.
P4845,5,Muito bom mesmo!
P5200,4,Gostei demais!
P1698,1,Frágil e mal acabado.
P3684,5,"Qualidade incrível, entrega rápida."
P6986,1,Veio diferente do anúncio.
P8278,5,"Amei esse produto, super útil."
P5947,2,"Horrível, não recomendo."
P5721,4,"Produto maravilhoso, funcionou perfeitamente."
P8547,4,"Gostei muito, valeu a pena."
P1438,2,Decepcionado com a compra.
P8366,2,"Péssima qualidade, não funciona direito."
P4401,5,"Excelente produto, super recomendo!"
P8142,4,Gostei demais!
P3088,5,Gostei demais!
P7607,4,Muito bom mesmo!
P6283,5,"Produto top, cumpre o que promete."
P3310,1,Decepcionado com a compra.
P1438,2,"Experiência horrível, perdi meu tempo."
P8664,5,Gostei demais!
P4922,5,"Nada a reclamar, só elogios."
P1012,1,Frágil e mal acabado.
P3509,5,"Amei esse produto, super útil."
P2364,4,Muito bom mesmo!
P1664,1,"Péssima qualidade, não funciona direito."
P5404,1,Decepcionado com a compra.
P2717,4,Muito bom mesmo!
P1681,5,"Gostei muito, valeu a pena."
P8727,4,"Produto maravilhoso, funcionou perfeitamente."
P8978,5,"Produto top, cumpre o que promete."
P6476,2,"Atendimento péssimo, nunca mais."
P3315,1,"Horrível, não recomendo."
P2032,1,"Muito ruim, não gostei."
P1817,5,"Amei esse produto, super útil."
P9717,5,"Ótimo custo-benefício, comprarei novamente."
P7918,2,Veio diferente do anúncio.
P7922,5,"Produto maravilhoso, funcionou perfeitamente."
P2096,1,Veio diferente do anúncio.
P1673,5,"Qualidade incrível, entrega rápida."
P4347,2,"Experiência horrível, perdi meu tempo."
P8783,4,"Amei esse produto, super útil."
P3496,1,Produto chegou quebrado.
P5614,5,"Gostei muito, valeu a pena."
P7897,1,Decepcionado com a compra.
P5504,2,"Horrível, não recomendo."
P6033,4,Gostei demais!
P7169,4,"Amei esse produto, super útil."
P7643,5,"Produto top, cumpre o que promete."
P8869,4,"Amei esse produto, super útil."
P5676,4,"Ótimo custo-benefício, comprarei novamente."
P2790,4,"Ótimo custo-benefício, comprarei novamente."
P5310,4,"Gostei muito, valeu a pena."
P1447,4,Muito bom mesmo!
P4194,4,"Produto maravilhoso, funcionou perfeitamente."
P5675,2,"Muito ruim, não gostei."
P1900,1,"Experiência horrível, perdi meu tempo."
P5058,2,"Muito ruim, não gostei."
P3070,1,"Atendimento péssimo, nunca mais."
P3532,1,"Muito ruim, não gostei."
P4864,1,"Experiência horrível, perdi meu tempo."
P8288,4,"Nada a reclamar, só elogios."
P4350,4,Gostei demais!
P4682,5,"Amei esse produto, super útil."
P9483,1,"Atendimento péssimo, nunca mais."
P6561,2,"Horrível, não recomendo."
P3678,4,"Ótimo custo-benefício, comprarei novamente."
P7485,5,"Nada a reclamar, só elogios."
P3874,5,"Produto maravilhoso, funcionou perfeitamente."
P9530,1,"Experiência horrível, perdi meu tempo."
P8503,2,"Péssima qualidade, não funciona direito."
P2571,2,Produto chegou quebrado.
P8312,1,Dinheiro jogado fora.
P7139,1,"Horrível, não recomendo."
P1241,2,"Experiência horrível, perdi meu tempo."
P1936,5,"Produto maravilhoso, funcionou perfeitamente."
P9719,1,"Atendimento péssimo, nunca mais."
P7738,1,Produto chegou quebrado.
P3922,1,Produto chegou quebrado.
P1162,1,"Experiência horrível, perdi meu tempo."
P8778,4,"Amei esse produto, super útil."
P2714,5,"Produto top, cumpre o que promete."
P6770,2,"Experiência horrível, perdi meu tempo."
P7135,2,"Horrível, não recomendo."
P8326,2,Dinheiro jogado fora.
P9980,4,"Produto maravilhoso, funcionou perfeitamente."
P9988,1,"Experiência horrível, perdi meu tempo."
P1168,1,"Horrível, não recomendo."
P9796,1,"Experiência horrível, perdi meu tempo."
P7056,4,"Nada a reclamar, só elogios."
P1714,4,"Ótimo custo-benefício, comprarei novamente."
P1572,5,"Produto top, cumpre o que promete."
P6021,4,"Amei esse produto, super útil."
P5693,4,"Ótimo custo-benefício, comprarei novamente."
P5925,1,"Horrível, não recomendo."
P5683,4,"Produto maravilhoso, funcionou perfeitamente."
P3372,1,Frágil e mal acabado.
P5639,4,"Nada a reclamar, só elogios."
P8604,5,"Excelente produto, super recomendo!"
P5836,1,Dinheiro jogado fora.
P7341,5,"Ótimo custo-benefício, comprarei novamente."
P2678,2,Decepcionado com a compra.
P5123,2,"Experiência horrível, perdi meu tempo."
P4051,2,Produto chegou quebrado.
P7439,2,"Atendimento péssimo, nunca mais."
P7085,5,"Produto maravilhoso, funcionou perfeitamente."
P9944,1,"Péssima qualidade, não funciona direito."
P3925,2,"Péssima qualidade, não funciona direito."
P1001,5,"Qualidade incrível, entrega rápida."
P5573,2,"Atendimento péssimo, nunca mais."
P8692,4,"Produto maravilhoso, funcionou perfeitamente."
P5733,5,"Qualidade incrível, entrega rápida."
P5657,1,Produto chegou quebrado.
P8214,2,"Péssima qualidade, não funciona direito."
P5847,4,"Ótimo custo-benefício, comprarei novamente."
P4439,2,Frágil e mal acabado.
P7617,2,"Horrível, não recomendo."
P8186,4,"Gostei muito, valeu a pena."
P8880,5,"Nada a reclamar, só elogios."
P6642,2,"Horrível, não recomendo."
P3212,5,"Produto top, cumpre o que promete."
P9396,4,"Gostei muito, valeu a pena."
P4728,4,"Gostei muito, valeu a pena."
P4845,5,Gostei demais!
P3380,1,"Experiência horrível, perdi meu tempo."
P9292,2,Produto chegou quebrado.
P3376,1,"Péssima qualidade, não funciona direito."
P3339,4,"Produto top, cumpre o que promete."
P7026,5,"Ótimo custo-benefício, comprarei novamente."
P7218,4,Muito bom mesmo!
P5944,4,"Produto top, cumpre o que promete."
P7208,4,"Gostei muito, valeu a pena."
P5356,5,"Ótimo custo-benefício, comprarei novamente."
P1564,1,"Péssima qualidade, não funciona direito."
P1966,4,"Produto top, cumpre o que promete."
P2819,4,"Nada a reclamar, só elogios."
P6994,4,Muito bom mesmo!
P9774,4,"Ótimo custo-benefício, comprarei novamente."
P6184,2,"Atendimento péssimo, nunca mais."
P5936,5,"Produto top, cumpre o que promete."
P9961,5,"Qualidade incrível, entrega rápida."
P6643,4,"Produto top, cumpre o que promete."
P9260,1,"Experiência horrível, perdi meu tempo."
P8295,4,"Qualidade incrível, entrega rápida."
P8378,2,Dinheiro jogado fora.
P4518,4,Muito bom mesmo!
P3999,2,"Péssima qualidade, não funciona direito."
P1682,4,"Excelente produto, super recomendo!"
P5096,2,"Horrível, não recomendo."
P5371,2,Frágil e mal acabado.
P2662,1,Veio diferente do anúncio.
P8068,4,"Produto maravilhoso, funcionou perfeitamente."
P3319,2,"Horrível, não recomendo."
P2516,2,"Muito ruim, não gostei."
P3757,1,Frágil e mal acabado.
P3123,5,"Produto top, cumpre o que promete."
P2870,2,Decepcionado com a compra.
P6986,4,"Gostei muito, valeu a pena."
P6927,5,"Nada a reclamar, só elogios."
P9025,1,"Experiência horrível, perdi meu tempo."
P6294,5,"Amei esse produto, super útil."
P2042,2,Produto chegou quebrado.
P4724,2,"Horrível, não recomendo."
P6311,5,"Nada a reclamar, só elogios."
P2583,5,"Excelente produto, super recomendo!"
P8299,5,"Qualidade incrível, entrega rápida."
P1492,4,"Nada a reclamar, só elogios."
P6208,4,"Produto maravilhoso, funcionou perfeitamente."
P2647,5,"Excelente produto, super recomendo!"
P7439,2,"Péssima qualidade, não funciona direito."
P6309,5,"Excelente produto, super recomendo!"
P3915,4,"Produto top, cumpre o que promete."
P1422,5,"Excelente produto, super recomendo!"
P9651,1,"Horrível, não recomendo."
P2930,5,Gostei demais!
P6406,4,"Qualidade incrível, entrega rápida."
P6628,2,"Horrível, não recomendo."
P7440,5,"Qualidade incrível, entrega rápida."
P9949,2,"Muito ruim, não gostei."
P8839,5,"Produto maravilhoso, funcionou perfeitamente."
P8322,1,"Atendimento péssimo, nunca mais."
P5062,5,"Produto top, cumpre o que promete."
P2635,1,"Atendimento péssimo, nunca mais."
P5271,2,Dinheiro jogado fora.
P1475,2,Frágil e mal acabado.
P9959,5,Muito bom mesmo!
P4990,1,Decepcionado com a compra.
P9571,2,Frágil e mal acabado.
P9363,5,"Gostei muito, valeu a pena."
P7953,1,"Muito ruim, não gostei."
P8472,5,Muito bom mesmo!
P9687,1,Veio diferente do anúncio.
P2810,4,"Qualidade incrível, entrega rápida."
P1312,4,Muito bom mesmo!
P2134,2,Decepcionado com a compra.
P4146,1,"Muito ruim, não gostei."
P9399,4,Muito bom mesmo!
P3819,4,"Nada a reclamar, só elogios."
P3079,2,"Atendimento péssimo, nunca mais."
P3218,5,"Ótimo custo-benefício, comprarei novamente."
P3047,2,"Péssima qualidade, não funciona direito."
P9541,4,"Produto top, cumpre o que promete."
P1566,5,Muito bom mesmo!
P9051,4,"Nada a reclamar, só elogios."
P4623,4,"Nada a reclamar, só elogios."
P9528,4,"Excelente produto, super recomendo!"
P2854,4,Muito bom mesmo!
P5217,2,Frágil e mal acabado.
P8373,2,Produto chegou quebrado.
P1441,2,Decepcionado com a compra.
P9343,1,"Atendimento péssimo, nunca mais."
P3171,5,"Excelente produto, super recomendo!"
P5223,5,"Ótimo custo-benefício, comprarei novamente."
P2647,1,"Muito ruim, não gostei."
P9420,1,Frágil e mal acabado.
P8001,4,"Excelente produto, super recomendo!"
P8782,4,"Nada a reclamar, só elogios."
P4395,4,"Qualidade incrível, entrega rápida."
P4491,1,"Péssima qualidade, não funciona direito."
P2318,1,"Muito ruim, não gostei."
P4649,2,Frágil e mal acabado.
P5988,2,Dinheiro jogado fora.
P1893,1,"Péssima qualidade, não funciona direito."
P2875,2,Veio diferente do anúncio.
P9614,1,Decepcionado com a compra.
P8798,2,Frágil e mal acabado.
P6630,2,"Péssima qualidade, não funciona direito."
P6795,4,Gostei demais!
P5466,1,"Péssima qualidade, não funciona direito."
P7431,5,"Produto maravilhoso, funcionou perfeitamente."
P1930,5,"Produto maravilhoso, funcionou perfeitamente."
P4891,2,"Atendimento péssimo, nunca mais."
P3279,1,"Horrível, não recomendo."
P9530,4,"Amei esse produto, super útil."
P5583,1,"Muito ruim, não gostei."
P5708,4,"Nada a reclamar, só elogios."
P7890,4,"Produto maravilhoso, funcionou perfeitamente."
P9960,1,"Experiência horrível, perdi meu tempo."
P4126,1,Frágil e mal acabado.
P7945,5,"Nada a reclamar, só elogios."
P9678,2,Dinheiro jogado fora.
P6694,2,Dinheiro jogado fora.
P5809,1,"Atendimento péssimo, nunca mais."
P3967,1,Frágil e mal acabado.
P5064,5,"Excelente produto, super recomendo!"
P2803,2,Decepcionado com a compra.
P1232,2,Frágil e mal acabado.
P1829,2,"Atendimento péssimo, nunca mais."
P2455,5,"Excelente produto, super recomendo!"
P9854,1,"Experiência horrível, perdi meu tempo."
P2455,1,"Atendimento péssimo, nunca mais."
P2918,5,"Ótimo custo-benefício, comprarei novamente."
P5086,5,"Amei esse produto, super útil."
P7567,2,Produto chegou quebrado.
P4860,5,"Produto maravilhoso, funcionou perfeitamente."
P8499,2,"Atendimento péssimo, nunca mais."
P8566,4,"Ótimo custo-benefício, comprarei novamente."
P5536,2,"Muito ruim, não gostei."
P3953,4,"Amei esse produto, super útil."
P4712,5,"Amei esse produto, super útil."
P2921,1,"Péssima qualidade, não funciona direito."
P2468,5,Muito bom mesmo!
P9984,1,Decepcionado com a compra.
P4382,4,"Excelente produto, super recomendo!"
P7930,4,"Qualidade incrível, entrega rápida."
P6948,2,"Horrível, não recomendo."
P1880,4,"Produto top, cumpre o que promete."
P5786,5,"Nada a reclamar, só elogios."
P9642,1,"Horrível, não recomendo."
P9035,4,"Ótimo custo-benefício, comprarei novamente."
P3126,5,"Gostei muito, valeu a pena."
P8137,5,Gostei demais!
P5438,5,"Produto top, cumpre o que promete."
P5044,1,Dinheiro jogado fora.
P8157,4,Muito bom mesmo!
P3232,1,Dinheiro jogado fora.
P1221,5,Gostei demais!
P8194,4,"Ótimo custo-benefício, comprarei novamente."
P1958,2,Dinheiro jogado fora.
P4296,1,Produto chegou quebrado.
P4323,1,"Experiência horrível, perdi meu tempo."
P6959,5,"Qualidade incrível, entrega rápida."
P4586,5,"Produto maravilhoso, funcionou perfeitamente."
P5660,5,"Nada a reclamar, só elogios."
P3616,5,"Produto top, cumpre o que promete."
P8401,5,"Gostei muito, valeu a pena."
P5536,1,"Muito ruim, não gostei."
P1819,4,"Qualidade incrível, entrega rápida."
P7361,2,"Atendimento péssimo, nunca mais."
P3225,2,"Péssima qualidade, não funciona direito."
P6305,4,"Excelente produto, super recomendo!"
P5377,1,Frágil e mal acabado.
P6256,5,Gostei demais!
P9458,1,"Horrível, não recomendo."
P8452,4,"Produto top, cumpre o que promete."
P4095,1,Veio diferente do anúncio.
P5581,1,Frágil e mal acabado.
P9546,5,"Amei esse produto, super útil."
P2547,2,"Horrível, não recomendo."
P6523,1,"Atendimento péssimo, nunca mais."
P3805,4,"Produto maravilhoso, funcionou perfeitamente."
P4908,2,"Muito ruim, não gostei."
P1850,5,Gostei demais!
P1761,4,"Produto top, cumpre o que promete."
P3393,1,"Horrível, não recomendo."
P6595,5,"Ótimo custo-benefício, comprarei novamente."
P9676,4,"Ótimo custo-benefício, comprarei novamente."
P5763,5,"Ótimo custo-benefício, comprarei novamente."
P5761,2,Produto chegou quebrado.
P8365,2,"Experiência horrível, perdi meu tempo."
P3334,4,"Amei esse produto, super útil."
P4007,1,Dinheiro jogado fora.
P2238,1,"Muito ruim, não gostei."
P5289,4,Muito bom mesmo!
P9003,4,"Excelente produto, super recomendo!"
P4990,1,"Muito ruim, não gostei."
P3672,1,"Péssima qualidade, não funciona direito."
P9419,2,"Péssima qualidade, não funciona direito."
P8582,1,Decepcionado com a compra.
P7671,4,"Qualidade incrível, entrega rápida."
P3402,5,"Qualidade incrível, entrega rápida."
P4647,5,"Nada a reclamar, só elogios."
P7673,1,"Experiência horrível, perdi meu tempo."
P3529,4,Gostei demais!
P7257,5,"Gostei muito, valeu a pena."
P5526,1,"Horrível, não recomendo."
P3424,4,"Produto maravilhoso, funcionou perfeitamente."
P8277,4,"Excelente produto, super recomendo!"
P6963,4,"Qualidade incrível, entrega rápida."
P7783,5,"Excelente produto, super recomendo!"
P7071,2,Decepcionado com a compra.
P4277,4,"Amei esse produto, super útil."
P8173,1,"Muito ruim, não gostei."
P9345,4,"Excelente produto, super recomendo!"
P8740,4,"Gostei muito, valeu a pena."
P8142,5,"Nada a reclamar, só elogios."
P8175,1,"Péssima qualidade, não funciona direito."
P8143,5,"Produto maravilhoso, funcionou perfeitamente."
P6314,4,"Gostei muito, valeu a pena."
P7478,4,"Produto top, cumpre o que promete."
P8393,4,"Ótimo custo-benefício, comprarei novamente."
P1379,2,"Horrível, não recomendo."
P5654,1,Produto chegou quebrado.
P1364,1,Frágil e mal acabado.
P7340,1,"Muito ruim, não gostei."
P8017,1,"Atendimento péssimo, nunca mais."
P4318,1,Dinheiro jogado fora.
P9625,1,Dinheiro jogado fora.
P5384,5,"Produto maravilhoso, funcionou perfeitamente."
P2141,2,Veio diferente do anúncio.
P3147,2,Produto chegou quebrado.
P7272,2,"Atendimento péssimo, nunca mais."
P5643,1,Decepcionado com a compra.
P1870,1,Dinheiro jogado fora.
P9644,4,"Produto top, cumpre o que promete."
P5309,5,"Qualidade incrível, entrega rápida."
P2985,4,"Gostei muito, valeu a pena."
P4111,5,"Nada a reclamar, só elogios."
P4492,5,"Nada a reclamar, só elogios."
P3979,4,"Excelente produto, super recomendo!"
P1852,5,Muito bom mesmo!
P7802,4,"Qualidade incrível, entrega rápida."
P4416,1,Dinheiro jogado fora.
P9487,5,"Produto top, cumpre o que promete."
P3947,5,"Produto top, cumpre o que promete."
P6609,2,Dinheiro jogado fora.
P5037,5,"Amei esse produto, super útil."
P3915,1,Decepcionado com a compra.
P4242,2,"Experiência horrível, perdi meu tempo."
P9095,5,"Ótimo custo-benefício, comprarei novamente."
P5534,2,"Muito ruim, não gostei."
P3363,5,Gostei demais!
P7444,4,"Nada a reclamar, só elogios."
P2636,4,Gostei demais!
P8961,2,Frágil e mal acabado.
P8430,5,"Nada a reclamar, só elogios."
P3920,5,"Gostei muito, valeu a pena."
P3042,4,"Nada a reclamar, só elogios."
P9838,2,"Muito ruim, não gostei."
P4749,4,"Produto maravilhoso, funcionou perfeitamente."
P5779,4,"Produto top, cumpre o que promete."
P2916,2,"Experiência horrível, perdi meu tempo."
P3974,1,Produto chegou quebrado.
P5808,2,"Muito ruim, não gostei."
P5203,1,Produto chegou quebrado.
P2465,4,"Produto top, cumpre o que promete."
P5046,5,"Qualidade incrível, entrega rápida."
